child_ID,age_mo_round,child_gender,corpus,cp,n_can,n_speechlike,n_total,ITS,n_total_inc_no_majority,syllcomplexity,urbrur
Casillas-Yeli F07,1,F,Yélî Dnye,0.0397350993377483,6,151,NA,NA,NA,Low,Rural
Casillas-Yeli F10,17,M,Yélî Dnye,0.117647058823529,20,170,NA,NA,NA,Low,Rural
Casillas-Yeli F11,20,F,Yélî Dnye,0.169117647058824,23,136,NA,NA,NA,Low,Rural
Casillas-Yeli F13,36,M,Yélî Dnye,0.285714285714286,60,210,NA,NA,NA,Low,Rural
Casillas-Yeli F23,13,F,Yélî Dnye,0.0492610837438424,10,203,NA,NA,NA,Low,Rural
Casillas-Yeli F28,4,M,Yélî Dnye,0.0192307692307692,1,52,NA,NA,NA,Low,Rural
Casillas-Yeli F31,26,F,Yélî Dnye,0.386934673366834,77,199,NA,NA,NA,Low,Rural
Casillas-Yeli F32,4,M,Yélî Dnye,0.0466666666666667,7,150,NA,NA,NA,Low,Rural
Casillas-Yeli F34,9,F,Yélî Dnye,0.0421052631578947,8,190,NA,NA,NA,Low,Rural
Casillas-Yeli F42,8,M,Yélî Dnye,0.111888111888112,16,143,NA,NA,NA,Low,Rural
Quechua 105,23,M,Quechua,0.494791666666667,95,192,NA,NA,NA,Moderate,Rural
Quechua 114,22,M,Quechua,0.289473684210526,11,38,NA,NA,NA,Moderate,Rural
Quechua 117,25,M,Quechua,0.358974358974359,14,39,NA,NA,NA,Moderate,Rural
Seedlings 11,14,M,English-Bergelson,0.27891156462585,41,147,NA,NA,NA,High,Urban
Seedlings 14,13,F,English-Bergelson,0.275641025641026,43,156,NA,NA,NA,High,Urban
Seedlings 26,7,M,English-Bergelson,0.183823529411765,25,136,NA,NA,NA,High,Urban
Seedlings 28,10,F,English-Bergelson,0.152380952380952,16,105,NA,NA,NA,High,Urban
Seedlings 36,7,F,English-Bergelson,0.0413793103448276,6,145,NA,NA,NA,High,Urban
Seedlings 4,8,M,English-Bergelson,0.0685714285714286,12,175,NA,NA,NA,High,Urban
Seedlings 43,15,F,English-Bergelson,0.103846153846154,27,260,NA,NA,NA,High,Urban
Seedlings 44,9,F,English-Bergelson,0.262032085561497,49,187,NA,NA,NA,High,Urban
Seedlings 8,12,F,English-Bergelson,0.210843373493976,35,166,NA,NA,NA,High,Urban
Seedlings 9,17,M,English-Bergelson,0.196261682242991,42,214,NA,NA,NA,High,Urban
Tseltal 2109,7,F,Tseltal,0.0428571428571429,6,140,NA,NA,NA,High,Rural
Tseltal 2625,32,F,Tseltal,0.465408805031447,74,159,NA,NA,NA,High,Rural
Tseltal 3026,36,M,Tseltal,0.632911392405063,150,237,NA,NA,NA,High,Rural
Tseltal 6216,27,F,Tseltal,0.519230769230769,81,156,NA,NA,NA,High,Rural
Tseltal 643,2,M,Tseltal,0.04,5,125,NA,NA,NA,High,Rural
Tseltal 7176,4,M,Tseltal,0.163461538461538,17,104,NA,NA,NA,High,Rural
Tseltal 7220,22,F,Tseltal,0.349693251533742,57,163,NA,NA,NA,High,Rural
Tseltal 7326,14,M,Tseltal,0.216216216216216,8,37,NA,NA,NA,High,Rural
Tseltal 8179,6,F,Tseltal,0.0884955752212389,10,113,NA,NA,NA,High,Rural
Tseltal 8787,11,M,Tseltal,0.403846153846154,63,156,NA,NA,NA,High,Rural
2017_C03,62,M,Tsimane',0.572528883183569,446,779,1222,tsimane2017_C03_20170707.rttm,1683,Moderate,Rural
2017_C06,51,M,Tsimane',0.458394160583942,314,685,1309,tsimane2017_C06_20170717.rttm,1856,Moderate,Rural
2017_C13,6,F,Tsimane',0.323943661971831,115,355,1027,tsimane2017_C13_20170709.rttm,1378,Moderate,Rural
2017_C17,55,M,Tsimane',0.528186274509804,431,816,1399,tsimane2017_C17_20170711.rttm,1904,Moderate,Rural
2017_C19,12,F,Tsimane',0.256756756756757,133,518,1201,tsimane2017_C19_20170711.rttm,1763,Moderate,Rural
2017_C21,44,M,Tsimane',0.441358024691358,286,648,1277,tsimane2017_C21_20170712.rttm,1822,Moderate,Rural
2017_C23,69,M,Tsimane',0.381818181818182,231,605,1059,tsimane2017_C23_20170719.rttm,1593,Moderate,Rural
2017_C26,47,F,Tsimane',0.515248796147673,321,623,1237,tsimane2017_C26_20170713.rttm,1767,Moderate,Rural
2931_1,13,F,English-Seidl,0.336217552533993,272,809,1423,2931_1,1831,High,Urban
3201_1,11,M,English-Seidl,0.0538461538461538,35,650,1436,3201_1,1788,High,Urban
3211_1,7,M,English-Seidl,0.257889990982867,286,1109,1962,3211_1,2523,High,Urban
3211_2,14,M,English-Seidl,0.372421281216069,343,921,1235,3211_2,1549,High,Urban
3291_1,19,M,English-Seidl,0.264056939501779,371,1405,2243,3291_1,2862,High,Urban
3451_1,12,M,English-Seidl,0.125223613595707,70,559,1125,3451_1,1449,High,Urban
3491_7,16,F,English-Seidl,0.432213209733488,373,863,1345,3491_7,1718,High,Urban
3681_1,5,F,English-Seidl,0.0332749562171629,19,571,2143,3681_1,2730,High,Urban
3741_1,12,M,English-Seidl,0.0983358547655068,65,661,1647,3741_1,2012,High,Urban
5031_1,12,F,English-Seidl,0.18503937007874,94,508,876,5031_1,1024,High,Urban
5E4E988900002028,12,F,French,0.178947368421053,17,95,244,e20200220_153526_008232,274,High,Urban
5E4EA6FB0000332C,11,F,French,0.0865384615384615,9,104,280,e20200220_163617_013100,311,High,Urban
5E563F1A0000332B,12,M,French,0.226890756302521,27,119,328,e20200226_105144_013099,385,High,Urban
5E56526B000024F2,12,F,French,0.191780821917808,14,73,238,e20200226_121334_009458,271,High,Urban
5E566CF60000332A,12,F,French,0.122222222222222,11,90,240,e20200226_140612_013098,284,High,Urban
5E5682AC0000332E,12,M,French,0.0952380952380952,14,147,342,e20200226_154007_013102,412,High,Urban
5E579D120000332D,13,M,French,0.211538461538462,22,104,256,e20200227_114344_013101,319,High,Urban
5E57C2E300003329,12,M,French,0.233333333333333,21,90,259,e20200227_142442_013097,306,High,Urban
5E5D1CF000002028,12,M,French,0.16875,27,160,321,e20200302_155025_008232,384,High,Urban
5E6104400000332D,12,F,French,0.105527638190955,21,199,462,e20200305_145449_013101,530,High,Urban
u01,33,F,Tsimane',0.415510204081633,509,1225,2531,e20170722_092639_013097,3561,Moderate,Rural
u02,36,F,Tsimane',0.44947209653092,298,663,1441,e20170709_154812_013104,1940,Moderate,Rural
u03,31,M,Tsimane',0.297297297297297,176,592,1536,e20170709_154406_009458,2092,Moderate,Rural
u04,59,M,Tsimane',0.552825552825553,450,814,1543,e20170714_182140_013097,2157,Moderate,Rural
u05,24,M,Tsimane',0.470985155195682,349,741,1506,e20170714_182445_013098,2019,Moderate,Rural
u06,51,M,Tsimane',0.592765460910152,508,857,1405,e20170714_183531_013102,1860,Moderate,Rural
u07,19,M,Tsimane',0.439093484419263,310,706,1459,e20170714_183036_013099,2000,Moderate,Rural
u08,36,F,Tsimane',0.523598820058997,355,678,1452,e20170714_183253_013101,1973,Moderate,Rural
u09,30,M,Tsimane',0.336252189141856,192,571,1550,e20170714_182735_013104,2133,Moderate,Rural
u10,39,M,Tsimane',0.475409836065574,319,671,1362,e20170713_094014_013103,1941,Moderate,Rural
u11,15,M,Tsimane',0.334051724137931,310,928,1688,e20170722_092350_009458,2295,Moderate,Rural
u12,54,F,Tsimane',0.467243510506799,378,809,1521,e20170722_093015_009456,2064,Moderate,Rural
u13,8,F,Tsimane',0.278186274509804,227,816,1555,e20170722_092028_013102,2094,Moderate,Rural
u14,18,F,Tsimane',0.21259842519685,27,127,241,e20180728_111435_013097,301,Moderate,Rural
u20,53,M,Tsimane',0.539393939393939,89,165,219,e20180716_170035_013097,303,Moderate,Rural
u22,51,F,Tsimane',0.616,77,125,192,e20180722_174722_013100,292,Moderate,Rural
u23,54,F,Tsimane',0.447916666666667,43,96,184,e20180724_151739_009458,272,Moderate,Rural
u24,48,F,Tsimane',0.509433962264151,54,106,276,e20180717_134815_013101,345,Moderate,Rural
u25,60,F,Tsimane',0.589147286821705,76,129,250,e20180723_090451_013104,319,Moderate,Rural
u26,15,M,Tsimane',0.330578512396694,40,121,231,e20180723_173623_013101,300,Moderate,Rural
u27,20,F,Tsimane',0.320388349514563,33,103,240,e20180718_152602_013097,301,Moderate,Rural
u28,71,M,Tsimane',0.567375886524823,80,141,215,e20180723_033428_013097,293,Moderate,Rural
C104,12,F,Solomon,0.0634920634920635,4,63,75,NA,NA,Low,Rural
C132,24,F,Solomon,0.598684210526316,91,152,154,NA,NA,Low,Rural
C142,36,F,Solomon,0.7875,63,80,91,NA,NA,Low,Rural
C156,4,M,Solomon,0.574468085106383,27,47,49,NA,NA,Low,Rural
C16,18,M,Solomon,0.457142857142857,16,35,35,NA,NA,Low,Rural
C181,18,M,Solomon,0.395348837209302,17,43,46,NA,NA,Low,Rural
C31,36,M,Solomon,0.753846153846154,49,65,66,NA,NA,Low,Rural
C41,24,M,Solomon,0.481927710843373,40,83,101,NA,NA,Low,Rural
C42,48,M,Solomon,0.51219512195122,42,82,85,NA,NA,Low,Rural
C48,24,M,Solomon,0.5125,41,80,94,NA,NA,Low,Rural
C53,17,F,Solomon,0.368421052631579,7,19,19,NA,NA,Low,Rural
C70,8,F,Solomon,0.4,4,10,10,NA,NA,Low,Rural
C72,18,M,Solomon,0.461538461538462,30,65,75,NA,NA,Low,Rural
C82,26,M,Solomon,0.62406015037594,83,133,141,NA,NA,Low,Rural
C90,16,F,Solomon,0.328571428571429,23,70,73,NA,NA,Low,Rural
5D7123D50000332A,8,M,Yélî Dnye,0.318181818,NA,10,NA,NA,NA,Low,Rural
5D7123970000332D,9,M,Yélî Dnye,0.549450549,NA,10,NA,NA,NA,Low,Rural
5D711E380000332A,9,F,Yélî Dnye,0.37804878,NA,10,NA,NA,NA,Low,Rural
5D704C52000024F2,13,M,Yélî Dnye,0.35,NA,10,NA,NA,NA,Low,Rural
5D7122270000332C,13,M,Yélî Dnye,0.450704225,NA,10,NA,NA,NA,Low,Rural
5D7116B900003330,14,M,Yélî Dnye,0.474576271,NA,10,NA,NA,NA,Low,Rural
5D712519000024F2,14,M,Yélî Dnye,0.351851852,NA,10,NA,NA,NA,Low,Rural
5D7124AF0000332B,15,M,Yélî Dnye,0.448717949,NA,10,NA,NA,NA,Low,Rural
5D71234E00002028,16,M,Yélî Dnye,0.672727273,NA,10,NA,NA,NA,Low,Rural
5D712553000024F0,16,F,Yélî Dnye,0.513513514,NA,10,NA,NA,NA,Low,Rural
5D71258600002028,17,F,Yélî Dnye,0.416666667,NA,10,NA,NA,NA,Low,Rural
5D71244F00003329,20,F,Yélî Dnye,0.511111111,NA,10,NA,NA,NA,Low,Rural
5D704A6D00003329,24,F,Yélî Dnye,0.543478261,NA,10,NA,NA,NA,Low,Rural
5D7121C00000332E,26,M,Yélî Dnye,0.73015873,NA,10,NA,NA,NA,Low,Rural
5D711C0500002028,26,M,Yélî Dnye,0.72,NA,10,NA,NA,NA,Low,Rural
5D71269300003329,28,F,Yélî Dnye,0.553846154,NA,10,NA,NA,NA,Low,Rural
5D7126C200002028,29,M,Yélî Dnye,0.626086957,NA,10,NA,NA,NA,Low,Rural
5D7122FF0000332E,32,F,Yélî Dnye,0.632478632,NA,10,NA,NA,NA,Low,Rural
5D711B88000024F0,35,F,Yélî Dnye,0.5125,NA,10,NA,NA,NA,Low,Rural
5D7053E00000332C,38,F,Yélî Dnye,0.596638655,NA,10,NA,NA,NA,Low,Rural
5D71241F0000332F,46,M,Yélî Dnye,0.634146341,NA,10,NA,NA,NA,Low,Rural
5D7125C90000332E,52,M,Yélî Dnye,0.748091603,NA,10,NA,NA,NA,Low,Rural
5D7054700000332E,53,M,Yélî Dnye,0.632653061,NA,10,NA,NA,NA,Low,Rural
5D7122C60000332F,54,M,Yélî Dnye,0.606382979,NA,10,NA,NA,NA,Low,Rural
5D7126430000332A,57,F,Yélî Dnye,0.68852459,NA,10,NA,NA,NA,Low,Rural
5D71260800003330,63,M,Yélî Dnye,0.784313725,NA,10,NA,NA,NA,Low,Rural
5D711D780000332D,63,F,Yélî Dnye,0.58974359,NA,10,NA,NA,NA,Low,Rural
5D704B7D0000332F,67,M,Yélî Dnye,0.657142857,NA,10,NA,NA,NA,Low,Rural
5D71228300003330,67,M,Yélî Dnye,0.784172662,NA,10,NA,NA,NA,Low,Rural
5D7121000000332B,70,F,Yélî Dnye,0.329268293,NA,10,NA,NA,NA,Low,Rural
5D7124E40000332C,72,F,Yélî Dnye,0.626760563,NA,10,NA,NA,NA,Low,Rural
